payment_type,date,year,total_fare,total_tips,total_tolls,total_extras,trip_total,total_trp_miles,total_trip_minutes
Cash,2020-04-06,2020,20027.639999999996,0,0,570.24,20597.879999999997,5184.5900000000083,19844.783333333336
Cash,2020-04-07,2020,18115.39,0,0,227.91,18343.300000000003,4800.9700000000048,17602.233333333319
Cash,2020-04-08,2020,18445.89,0,0,303.25,18749.139999999996,4939.58,16600.733333333341
Cash,2020-04-09,2020,18393.140000000003,0,0,247.78,18640.920000000002,4945.6900000000005,16412.083333333347
Cash,2020-04-10,2020,15160.820000000002,0,0,345,15505.820000000002,3629.199999999998,15459.26666666667
Cash,2020-04-11,2020,13760.569999999998,0,0,189.04,13949.609999999999,3521.1200000000008,12046.466666666665
Cash,2020-04-12,2020,10211.35,0,0,195,10406.35,2891.6299999999956,9305.1833333333343
Cash,2020-04-13,2020,23791.649999999994,3.55,0,361,24156.19999999999,5111.8700000000017,16859.483333333315
Cash,2020-04-14,2020,17218.29,0,0,240,17458.29,4547.279999999997,17047.15000000002
Cash,2020-04-15,2020,13796.880000000003,0,0,290,14086.880000000003,3508.63,13599.800000000003
Cash,2020-04-16,2020,17145.4,0,0,349.5,17494.9,4461.7800000000043,16919.616666666658
Cash,2020-04-17,2020,14648.259999999998,0,1.9,4707.53,19357.690000000002,3790.7200000000025,13941.183333333327
Cash,2020-04-18,2020,13206.5,0,0,356,13562.5,3543.9199999999964,12251.099999999991
Cash,2020-04-19,2020,10186.199999999999,0,0,248.5,10434.699999999999,3036.0699999999979,8685.0333333333328
Cash,2020-04-20,2020,12240.090000000002,0,0,231.52,12471.610000000002,3081.6700000000042,11514.283333333336
Cash,2020-04-21,2020,16849.27,0,0,268.53,17117.800000000003,4566.3899999999994,15231.099999999997
Cash,2020-04-22,2020,16085.579999999998,0,0,200.01,16285.589999999998,4620.1900000000005,13906.050000000017
Cash,2020-04-23,2020,17664.75,0,0,330.03,17994.78,4936.5499999999984,15826.800000000008
Cash,2020-04-24,2020,17748.82,0,0,374.75,18123.57,4873.530000000007,15766.11666666667
Cash,2020-04-25,2020,13823.199999999999,0,0,404.38,14227.58,3901.4999999999977,12196.766666666659
Cash,2020-04-26,2020,10354.750000000002,0,0,222.5,10577.25,2922.2700000000018,8919.8666666666741
Cash,2020-04-27,2020,19148.62,0,0,578.74,19727.359999999997,5287.4,19193.250000000018
Cash,2020-04-28,2020,20975.369999999995,0,0,254.11,21229.479999999996,4828.229999999995,16825.416666666672
Cash,2020-04-29,2020,18935.379999999997,0,4.7,471.82,19411.9,5040.9000000000078,18547.350000000002
Cash,2020-04-30,2020,19334.280000000002,0,3.9,547.06999999999994,19885.250000000004,5540.3500000000049,16750.28333333334
Cash,2020-05-01,2020,25492.940000000002,0,0,448,25940.94,6988.7100000000064,30129.250000000015
Cash,2020-05-02,2020,19593.189999999995,0,0,383,19976.189999999995,5274.1499999999969,19339.283333333344
Cash,2020-05-03,2020,14690.090000000002,0,0,504.54,15194.630000000001,4139.8999999999987,13065.233333333324
Cash,2020-05-04,2020,24978.730000000003,0,3.5,471.05,25453.280000000002,7154.4199999999973,23529.399999999969
Cash,2020-05-05,2020,21938.640000000003,0,0,613.74,22552.38,6289.0500000000029,22470.93333333332
Cash,2020-05-06,2020,23815.9,0,0,439.5,24255.400000000005,5929.6199999999953,19632.250000000025
Cash,2020-05-07,2020,23332.899999999994,0,0,497.03,23829.929999999993,6742.4100000000089,21262.06666666668
